"fips","name","state","lat","lon"
"06075","San Francisco","CA","37.752236","-122.433084"
"25025","Suffolk","MA","42.304066","-71.08902"
"31007","Banner","NE","41.543542","-103.825848"
"37181","Vance","NC","36.371453","-78.416855"
"48421","Sherman","TX","36.372936","-101.942032"
"50011","Franklin","VT","44.846093","-72.957105"
"51680","Lynchburg","VA","37.406205","-79.199716"
"05099","Nevada","AR","33.680709","-93.337067"
"08014","Broomfield","CO","39.960395","-105.054289"
"16065","Madison","ID","43.794541","-111.70643"
"17027","Clinton","IL","38.597704","-89.478795"
"19025","Calhoun","IA","42.420257","-94.676862"
"21129","Lee","KY","37.595256","-83.731403"
"22063","Livingston","LA","30.396228","-90.727897"
"31097","Johnson","NE","40.418677","-96.304936"
"31101","Keith","NE","41.212601","-101.745556"
"51775","Salem","VA","37.282257","-80.07566"
"48493","Wilson","TX","29.227459","-98.0632"
"48115","Dawson","TX","32.814657","-102.012663"
"46051","Grant","SD","45.216238","-96.844255"
"72101","Morovis","PR","18.32386","-66.416493"
"05067","Jackson","AR","35.603963","-91.272942"
"51670","Hopewell","VA","37.301761","-77.298329"
"46003","Aurora","SD","43.763718","-98.580196"
"18031","Decatur","IN","39.298206","-85.546251"
"18169","Wabash","IN","40.903708","-85.8227"
"19161","Sac","IA","42.421254","-95.144424"
"37107","Lenoir","NC","35.259295","-77.63151"
"29055","Crawford","MO","37.983266","-91.345441"
"31105","Kimball","NE","41.134951","-103.75487"
"08045","Garfield","CO","39.715948","-107.92265"
"17067","Hancock","IL","40.432858","-91.303191"
"27173","Yellow Medicine","MN","44.739107","-95.796204"
"31145","Red Willow","NE","40.15099","-100.554707"
"13089","DeKalb","GA","33.780728","-84.248155"
"45077","Pickens","SC","34.926659","-82.77132"
"20131","Nemaha","KS","39.855837","-96.065608"
"05111","Poinsett","AR","35.555791","-90.685712"
"17175","Stark","IL","41.137038","-89.810322"
"37147","Pitt","NC","35.581618","-77.38648"
"19147","Palo Alto","IA","43.116579","-94.725485"
"19081","Hancock","IA","43.116492","-93.781664"
"29229","Wright","MO","37.312548","-92.512566"
"31073","Gosper","NE","40.512866","-99.904108"
"38043","Kidder","ND","47.014961","-99.81897"
"40015","Caddo","OK","35.279833","-98.453698"
"42075","Lebanon","PA","40.368578","-76.437908"
"48069","Castro","TX","34.561239","-102.261681"
"48279","Lamb","TX","34.150291","-102.424588"
"48385","Real","TX","29.889075","-99.83905"
